"","Call Code Description","total"
"29","OFF on INVESTIGATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1266
"30","ASSAULT NO WEAPON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1235
"31","DISABLED VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1211
"32","OTHER ASSISTANCE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",1063
"33","RING BACK; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",956
"34","SCHOOL CROSSING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",902
"35","ASSAULT NO WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",900
"36","CHECK WELFARE OF; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",859
"37","TERRORISTIC THREATS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",849
"38","BURGLARY RESIDENTIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",844
"39","PREVENT BREACH OF PEACE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",815
"40","ABANDONED/APPARENT STOLEN; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",794
"41","TENANT/LANDLORD DISPUTE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",745
"42","MEET OTHER AGENCY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",694
"43","THEFT PROP FROM VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",681
"44","TRESPASS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",653
"45","OFF ON INVESTIGATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",628
"46","PERSON DOWN/CAUSE UNKNOWN; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",613
"47","HYDRANT PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",581
"48","NEIGHBOR DISPUTE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",574
"49","OTHER VEHICLE/TRAFFIC PROBLEM; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",570
"50","NOTIFICATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",568
"51","HAZARDOUS CONDITION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",559
"52","FIRE / EXPLOSION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",554
"53","PANIC ALARM; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",551
"54","OTHER SUSPICIOUS/HAZARDOUS CIRCUMSTANCES; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",536
"55","SHOPLIFTING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",511
"56","PEDESTRIAN STRUCK; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",496
"57","HANDICAPPED PARKING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",459
"58","GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",434
"59","MOTOR VEHICLE ACCIDENT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",419
"60","OTHER INTER/CONFLICT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",415
"61","HARASSMENT(VERBAL ABUSE); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",356
"62","OTHER INTER/CONFLICT; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",349
"63","MISSING PERSON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",333
"64","LOITERING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",324
"65","DAMAGE RESIDENTIAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",319
"66","MOTOR VEHICLE THEFT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",309
"67","SIGN DOWN/TRAFFIC LIGHT OUT OF ORDER; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",290
"68","HOLD-UP ALARM; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",282
"69","RACING/SPEEDING/CARELESS DRIVING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",279
"70","AMBULANCE REQUEST FOR; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",278
"71","ASSAULT WEAPON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",275
"72","INTOXICATED PERSON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",274
"73","ASSAULT NO WEAPON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",270
"74","INTERFERE W/ CUSTODY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",254
"75","ROB PERSON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",251
"76","WEAPON PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",248
"77","PSN - Project Safe Neighborhoods; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",241
"78","AMBULANCE REQUEST FOR; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",237
"79","FIREARM PERSON WITH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",231
"80","BURGLARY COMERCIAL PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",224
"81","ASSAULT WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",223
"82","FIREWORKS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",216
"83","OTHER ASSISTANCE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",211
"84","ODOR OF GAS / TOXIC SPILL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",204
"85","ANIMAL COMPLAINT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",196
"86","BURGLARY RESIDENTIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",188
"87","SLUMPER IN VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",183
"88","TELEPHONE HARASSMENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",180
"89","PERSON SCREAMING / CALLING FOR HELP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",169
"90","COURT OFF AT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",168
"91","MEET OTHER AGENCY; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",168
"92","SUSPICIOUS PERSON/CONDITION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",166
"93","PUBLIC ARGUMENT; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",165
"94","MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY",164
"95","WARRANT SERVICE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",157
"96","CAR WASH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",151
"97","DAMAGE COMMERICIAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",149
"98","DISABLED POLICE VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",146
"99","PRISONER WATCH; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",146
"100","WARRANT ARREST; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",143
"101","BURG ALARM MOTOR VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",141
"102","FRAUD; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",138
"103","INTOXICATED DRIVER; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",128
"104","DAMAGE OTHER PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",123
"105","CC CITIZEN; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",122
"106","MERCHANT/CUSTOMER DISPUTE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",120
"107","AMBULANCE REQUEST FOR; TIME ELAPSED NOT APPLICABLE; INJURY",116
"108","MERCHANT/CUSTOMER DISPUTE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",112
"109","GAMBLING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",110
"110","TRESPASS; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",110
"111","LOST / MISLAID PROPERTY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",109
"112","THEFT OTHER PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",104
"113","DISORDERLY CONDUCT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",102
"114","THEFT OF SERVICE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",101
"115","UTILITY BREAK / INTERRUPTION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",91
"116","ROB PERSON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",88
"117","FOUND WEAPON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",85
"118","ROB PERSON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",83
"119","MOTOR VEHICLE ACCIDENT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",82
"120","TRAFFIC POST; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",81
"121","ASSAULT WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",79
"122","OTHER PUBLIC NUISANCE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",75
"123","MOTOR VEHICLE RUNNING UNATTENDED; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",74
"124","ASSAULT NO WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",73
"125","STREET GAMES; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",73
"126","LEWDNESS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",72
"127","TRAFFIC STOP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",72
"128","ASSAULT NO WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",69
"129","SERVING RESTRAINING / COURT ORDER; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",69
"130","HARASSMENT(VERBAL ABUSE); IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",68
"131","ASSAULT WEAPON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",60
"132","DEAD BODY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",59
"133","LOITERING; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",59
"134","ASSAULT WEAPON; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",56
"135","THEFT OTHER PROP; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",56
"136","TRAFFIC CONGESTION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",56
"137","TAMPERING WITH A VEHICLE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",55
"138","INDUSTRIAL / CONSTRUCTION MISHAP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",53
"139","INTOXICATED PERSON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",53
"140","MEET OTHER AGENCY; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",51
"141","OTHER ASSISTANCE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",51
"142","ROADWAY OBSTRUCTION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",51
"143","STREET FIGHT ( NO WEAPONS ); IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",51
"144","FOUND CDS/PARAPHERNALIA; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",49
"145","ASSAULT NO WEAPON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; ATTEMPT TO CAUSE INJURY",47
"146","THEFT FROM PERSON; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",46
"147","TENANT/LANDLORD DISPUTE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",44
"148","TERRORISTIC THREATS; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",44
"149","BURGLARY OTHER STRUCTURE/AREA; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",42
"150","ASSAULT NO WEAPON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY IMMINENT OR PROBABLE",41
"151","MOTOR VEHICLE ACCIDENT; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",41
"152","USE/SALE OF DRUGS; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",41
"153","NEIGHBOR DISPUTE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",39
"154","MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",38
"155","TRESPASS; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",37
"156","NEIGHBOR DISPUTE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",36
"157","DISABLED VEHICLE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",35
"158","PUBLIC ARGUMENT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",35
"159","OTHER PROP CRIME; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",34
"160","LEWDNESS; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",33
"161","CROSSWALK PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",32
"162","OFF on INVESTIGATION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",32
"163","LABOR DISPUTE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",31
"164","MOTOR VEHICLE THEFT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",31
"165","PEDESTRIAN STRUCK; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",31
"166","PUBLIC ARGUMENT; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",31
"167","ELEVATOR STUCK W/OCCUPANTS; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",30
"168","OTHER PERSON CRIME; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",30
"169","NO CITY PERMIT PARKING VIOLATION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",29
"170","BURG ALARM OTHER; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",28
"171","BURGLARY RESIDENTIAL PROP; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",28
"172","DAMAGE MOTOR VEHICLE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",28
"173","DAMAGE TO PUBLIC PROPERTY; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",28
"174","AMBULANCE REQUEST FOR; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",27
"175","COMMUNITY MEETING; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",27
"176","THEFT PROP FROM VEHICLE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",27
"177","BURG ALARM PUBLIC PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",26
"178","TENANT/LANDLORD DISPUTE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",26
"179","ASSAULT NO WEAPON; TIME ELAPSED NOT APPLICABLE; INJURY",25
"180","OPEN 9-1-1  TELEPHONE LINE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",25
"181","USE/SALE OF DRUGS; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",25
"182","BURG ALARM COMMERCIAL PROP; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",24
"183","BURGLARY COMERCIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",24
"184","ASSAULT WEAPON; TIME ELAPSED NOT APPLICABLE; INJURY",23
"185","DAMAGE MOTOR VEHICLE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",23
"186","ROB COMERCIAL; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",23
"187","ASSAULT WEAPON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY",22
"188","FALSE 9-1-1 CALL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",22
"189","BURG ALARM COMMERCIAL PROP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",21
"190","FIRE / EXPLOSION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",21
"191","PEDESTRIAN STRUCK; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",21
"192","OFFICER NEEDS ASSISTANCE; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",20
"193","ROB COMERCIAL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",20
"194","DRIVEWAY PARKING VIOLATION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",19
"195","HIT AND RUN (PERSON STRUCK ); TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",19
"196","HOLDING ACTOR; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",19
"197","OFF ON INVESTIGATION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",17
"198","OTHER PARKING VIOLATION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",17
"199","OTHER PUBLIC NUISANCE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",17
"200","PREVENT BREACH OF PEACE; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",17
"201","PROSTITUTION; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",17
"202","BAD CHECK/CREDIT CARD; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",16
"203","HARASSMENT(VERBAL ABUSE); PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",15
"204","AMBULANCE REQUEST FOR; TIME ELAPSED NOT APPLICABLE; ATTEMPT TO CAUSE INJURY",14
"205","LEAVING THE SCENE OF A ACCIDENT ( PROPERTY DAMAGE ONLY ); PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",14
"206","STRANGE ODOR; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",14
"207","ASSAULT NO WEAPON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY",13
"208","ASSAULT WEAPON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; ATTEMPT TO CAUSE INJURY",13
"209","DISORDERLY CONDUCT; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",12
"210","MOTOR VEHICLE THEFT; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",12
"211","ANIMAL COMPLAINT; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",11
"212","ASSAULT NO WEAPON; PERSON CRIME OCCURRED MORE THAN 10 MINUTES AGO; INJURY NOT APPLICABLE",11
"213","ASSAULT NO WEAPON; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",11
"214","DAMAGE RESIDENTIAL; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",11
"215","FIREARM PERSON WITH; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",11
"216","LEAVING THE SCENE OF A ACCIDENT ( PROPERTY DAMAGE ONLY ); IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",11
"217","OTHER VEHICLE/TRAFFIC PROBLEM; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",11
"218","PERSON DOWN/CAUSE UNKNOWN; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY",11
"219","PERSON DOWN/CAUSE UNKNOWN; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",11
"220","SHOPLIFTING; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",11
"221","BURGLARY PUBLIC PROP; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",10
"222","EXPLOSIVE DEVICE FOUND; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",10
"223","GUNSHOTS FIRED HEARD ( NO WITNESS / VICTIM ); IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",10
"224","OTHER CALL TAKER ADJUSTED PHONE CALL; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",10
"225","OTHER PUBLIC MORALS OFFENSES; TIME ELAPSED NOT APPLICABLE; INJURY NOT APPLICABLE",10
"226","PERSON SCREAMING / CALLING FOR HELP; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",10
"227","ROB COMERCIAL; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",10
"228","THEFT FROM PERSON; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",10
"229","WEAPON PERSON WITH; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",10
"230","MOTOR VEHICLE ACCIDENT; TIME ELAPSED NOT APPLICABLE; INJURY IMMINENT OR PROBABLE",9
"231","TAMPERING WITH A VEHICLE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",9
"232","BURG ALARM RESIDENTIAL PROP; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",8
"233","BURGLARY RESIDENTIAL PROP; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",8
"234","CHECK WELFARE OF; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",8
"235","DAMAGE RESIDENTIAL; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",8
"236","PERSON DOWN/CAUSE UNKNOWN; IN PROGRESS AND/OR ACTOR ON SCENE; ATTEMPT TO CAUSE INJURY",8
"237","PERSON DOWN/CAUSE UNKNOWN; TIME ELAPSED NOT APPLICABLE; INJURY",8
"238","THEFT OTHER PROP; PROPERTY CRIME OCCURRED WITHIN 15 MINUTES; INJURY NOT APPLICABLE",8
"239","THEFT PROP FROM VEHICLE; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",8
"240","HAZARDOUS CONDITION; IN PROGRESS AND/OR ACTOR ON SCENE; INJURY NOT APPLICABLE",7
"241","INTOXICATED PERSON; PERSON CRIME OCCURRED WITHIN 10 MINUTES; INJURY NOT APPLICABLE",7
